time,q_0,q_1,q_2,q_3,q_4,q_5,tcp_0,tcp_1,tcp_2,extra__pc_ts
2.0,-4.84791726,-1.46715606,1.04095155,3.58760898,4.76189995,0.64536536,0.070274011,-0.516435137,0.84400173,2.0
2.0,-4.84928292,-1.46553062,1.0410412,3.59017388,4.76199865,0.64539337,0.069387208,-0.517899116,0.84288272,2.0
2.0,-4.85069746,-1.46396038,1.04118664,3.59291522,4.76216268,0.6453653,0.068478817,-0.519356529,0.841744546,2.0
2.0,-4.85213834,-1.46224498,1.04131681,3.59573857,4.76227856,0.64538121,0.067533953,-0.520912053,0.840528045,2.0
2.0,-4.85366887,-1.46046075,1.04144127,3.59871165,4.76244688,0.64541817,0.066535075,-0.522527724,0.839259898,2.0
2.0,-4.85524685,-1.45864656,1.04161388,3.60184114,4.76254225,0.64538908,0.065493021,-0.52418699,0.83793386,2.0
2.0,-4.85692555,-1.45675555,1.04175312,3.60499589,4.76270914,0.64537686,0.064393932,-0.525892499,0.836576849,2.0
2.0,-4.85854978,-1.45485125,1.04192573,3.60829942,4.76289749,0.64534807,0.063316147,-0.527619146,0.835177295,2.0
2.0,-4.86024922,-1.45279651,1.04208118,3.61158149,4.76306915,0.64538479,0.062178077,-0.52943719,0.833705623,2.0
2.0,-4.86204344,-1.45073436,1.04223234,3.61485164,4.76326227,0.64539337,0.060986128,-0.531256551,0.832228022,2.0
2.0,-4.86388106,-1.44861152,1.04243833,3.61819188,4.76341343,0.64539772,0.059752113,-0.533130304,0.830680627,2.0
2.0,-4.86573071,-1.44636738,1.04258949,3.62169854,4.7635932,0.64537251,0.058495803,-0.535078523,0.829072345,2.0
2.0,-4.86765617,-1.44421102,1.04273588,3.62518279,4.76376009,0.64536095,0.057201041,-0.536961276,0.827508311,2.0
2.0,-4.86954815,-1.44181094,1.04297477,3.62896554,4.76400185,0.64539337,0.055892157,-0.539042838,0.825735283,2.0
2.0,-4.87156266,-1.43942578,1.04312879,3.63290946,4.76416874,0.6453653,0.054505444,-0.541104419,0.823985364,2.0
2.0,-4.87358004,-1.43704112,1.04338247,3.63700788,4.76430702,0.64544231,0.053101362,-0.543192083,0.822164801,2.0
2.0,-4.87561626,-1.4345305,1.04353649,3.64100616,4.76458931,0.64535761,0.051686024,-0.545320923,0.820328046,2.0
2.0,-4.87782735,-1.43200678,1.04372675,3.64500777,4.76479721,0.64536536,0.050157554,-0.547463661,0.818459189,2.0
2.0,-4.87995857,-1.42947315,1.04395897,3.64903705,4.76493025,0.64537251,0.04865456,-0.549608073,0.816554366,2.0
2.0,-4.88221664,-1.4269298,1.04415113,3.65322129,4.76520348,0.64535242,0.047086019,-0.551758263,0.814638326,2.0
2.0,-4.884507,-1.42424913,1.04439527,3.65746705,4.7653923,0.64539337,0.045464839,-0.554001253,0.81260882,2.0
2.0,-4.88679833,-1.42154774,1.0446232,3.66199891,4.7656107,0.64540195,0.043831538,-0.556264298,0.810535056,2.0
2.0,-4.88919527,-1.41883156,1.04490358,3.6667134,4.76582718,0.64540529,0.042124074,-0.558553601,0.808398531,2.0
2.0,-4.89164549,-1.41608498,1.04507286,3.67136304,4.76604223,0.64538121,0.040379622,-0.560819186,0.806296743,2.0
2.0,-4.89404875,-1.41313413,1.04532177,3.67601268,4.76631498,0.64539337,0.038631213,-0.563214912,0.804035878,2.0
2.0,-4.89661855,-1.41018842,1.04561836,3.68062226,4.76649332,0.64541393,0.036769412,-0.565603067,0.801749329,2.0
2.0,-4.89918358,-1.40725026,1.04583437,3.68541114,4.76680613,0.64540195,0.034915039,-0.567967748,0.799475076,2.0
2.0,-4.90181238,-1.40410915,1.04612619,3.69032065,4.76705217,0.64539772,0.032978612,-0.570468455,0.797027603,2.0
2.0,-4.90446407,-1.40098217,1.04638702,3.69554107,4.76726008,0.645401,0.031013049,-0.572958725,0.794555397,2.0
2.0,-4.9072221,-1.39773911,1.04668695,3.70092218,4.7675643,0.64537686,0.028967063,-0.575525628,0.791969007,2.0
2.0,-4.90995556,-1.39453276,1.04693729,3.70608489,4.76784897,0.64538544,0.026932282,-0.578021169,0.789441035,2.0
2.0,-4.91272623,-1.39127997,1.0472253,3.71132676,4.76799345,0.6454258,0.024842884,-0.580536917,0.78684744,2.0
2.0,-4.91549212,-1.38799647,1.04753811,3.71664588,4.76831913,0.64537686,0.022757165,-0.583063028,0.784203357,2.0
2.0,-4.91837162,-1.38458276,1.04782611,3.72210853,4.76856136,0.64540958,0.020568203,-0.585652538,0.781467945,2.0
2.0,-4.92131943,-1.38115074,1.04801637,3.72784774,4.76889134,0.64536095,0.018333649,-0.588232463,0.77872401,2.0
2.0,-4.92429334,-1.37772103,1.04832346,3.73374955,4.769207,0.64541393,0.016063642,-0.590820708,0.775891182,2.0
2.0,-4.92730433,-1.37411143,1.04862959,3.73944871,4.76949883,0.64538544,0.013737337,-0.593477157,0.772966614,2.0
2.0,-4.93040854,-1.37051691,1.04893667,3.74511354,4.76975441,0.64539337,0.01134244,-0.596096678,0.770040777,2.0
2.0,-4.93353755,-1.36688097,1.04921991,3.75088088,4.77006674,0.6454215,0.008919938,-0.598717342,0.767076562,2.0
2.0,-4.93674451,-1.36322104,1.04954559,3.75704925,4.77039385,0.64540958,0.006428702,-0.601358837,0.764013727,2.0
2.0,-4.94001013,-1.35948405,1.04985077,3.76344172,4.7706933,0.64538908,0.003873926,-0.604026144,0.760873552,2.0
2.0,-4.9432419,-1.35568215,1.0501836,3.76964442,4.77091837,0.64536095,0.00131266,-0.60669224,0.757690259,2.0
2.0,-4.94655747,-1.3517457,1.05052835,3.77573316,4.77128363,0.64541811,-0.001315673,-0.609402607,0.754421037,2.0
2.0,-4.94987113,-1.34776013,1.05081445,3.78201453,4.7715621,0.64539337,-0.003971459,-0.612108808,0.751112245,2.0
2.0,-4.95324833,-1.34381311,1.05117399,3.78864877,4.77192736,0.64539337,-0.006673214,-0.614793942,0.747729316,2.0
2.0,-4.95671147,-1.33973549,1.05149776,3.79550664,4.77222586,0.64540195,-0.009467333,-0.617523072,0.744241493,2.0
2.0,-4.96023864,-1.33568212,1.05187446,3.80212657,4.77254963,0.64541393,-0.012306761,-0.620197439,0.740755994,2.0
2.0,-4.96380431,-1.33151184,1.05224592,3.80867354,4.77289247,0.64536095,-0.015196741,-0.622895645,0.737195882,2.0
2.0,-4.96741814,-1.32729913,1.05252344,3.81534974,4.7732234,0.64538544,-0.018135224,-0.625570994,0.733624644,2.0
2.0,-4.97104651,-1.32314612,1.05294115,3.82247178,4.77361298,0.64537686,-0.021093167,-0.628219931,0.729944436,2.0
2.0,-4.97473592,-1.3187788,1.05330545,3.8297445,4.77392292,0.64539337,-0.024141194,-0.630942012,0.726123233,2.0
2.0,-4.9784537,-1.31445681,1.05367405,3.83675401,4.77429581,0.64538115,-0.027203649,-0.633586062,0.722345403,2.0
2.0,-4.98216814,-1.30997466,1.05398638,3.84367005,4.77460957,0.64534908,-0.030302646,-0.636261206,0.718492592,2.0
